"Fate","Sex","Boat.dibs","Age","Title","Class","Deck","Side","Fare","Fare.pp","Embarked","Family","Survived"
"Survived","female","Yes",30,"Miss","First","E","port",56.9292,56.9292,"C",0,"1"
"Survived","female","Yes",24,"Miss","First","C","port",83.1583,83.1583,"C",0,"1"
"Survived","female","Yes",18,"Miss","First","B","port",262.375,52.475,"C",4,"1"
"Perished","female","Yes",26,"Mrs","Second","UNK","UNK",26,8.66666666666667,"S",2,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",43,"Mr","Second","UNK","UNK",26.25,8.75,"S",2,"0"
"Survived","female","Yes",26,"Miss","Third","UNK","UNK",7.8542,7.8542,"S",0,"1"
"Survived","female","Yes",24,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",54,"Noble","Second","UNK","UNK",14,14,"S",0,"0"
"Survived","female","Yes",31,"Miss","First","C","starboard",164.8667,54.9555666666667,"S",2,"1"
"Survived","female","Yes",40,"Mrs","First","E","port",134.5,44.8333333333333,"C",2,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",27,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","female","Yes",30,"Miss","Second","UNK","UNK",12.35,12.35,"Q",0,"1"
"Survived","female","Yes",22,"Mrs","Second","UNK","UNK",29,9.66666666666667,"S",2,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",69.55,6.32272727272727,"S",10,"0"
"Survived","female","Yes",36,"Miss","First","C","port",135.6333,135.6333,"C",0,"1"
"Perished","male","No",61,"Mr","Third","UNK","UNK",6.2375,6.2375,"S",0,"0"
"Survived","female","Yes",36,"Mrs","Second","D","UNK",13,13,"S",0,"1"
"Survived","female","Yes",31,"Mrs","Third","UNK","UNK",20.525,6.84166666666667,"S",2,"1"
"Survived","female","Yes",16,"Miss","First","B","port",57.9792,28.9896,"C",1,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",23.25,7.75,"Q",2,"1"
"Perished","male","No",45.5,"Mr","First","C","port",28.5,28.5,"S",0,"0"
"Perished","male","No",38,"Mr","First","C","starboard",153.4625,76.73125,"S",1,"0"
"Perished","male","No",16,"Mr","Third","UNK","UNK",18,6,"S",2,"0"
"Survived","female","Yes",35,"Mrs","First","UNK","UNK",133.65,66.825,"S",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",29,"Mr","First","C","port",66.6,33.3,"S",1,"0"
"Survived","female","Yes",41,"Miss","First","E","port",134.5,134.5,"C",0,"1"
"Survived","male","No",45,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"1"
"Perished","male","No",45,"Mr","First","T","UNK",35.5,35.5,"S",0,"0"
"Survived","male","Yes",2,"Master","Second","F","port",26,8.66666666666667,"S",2,"1"
"Survived","female","Yes",24,"Miss","First","C","starboard",263,43.8333333333333,"S",5,"1"
"Perished","male","No",28,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",25,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",36,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Survived","female","Yes",24,"Miss","Second","F","starboard",13,13,"S",0,"1"
"Survived","female","Yes",40,"Miss","Second","UNK","UNK",13,13,"S",0,"1"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",16.1,8.05,"S",1,"1"
"Survived","male","Yes",3,"Master","Third","UNK","UNK",15.9,5.3,"S",2,"1"
"Perished","male","No",42,"Mr","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Perished","male","No",23,"Mr","Third","UNK","UNK",9.225,9.225,"S",0,"0"
"Perished","male","No",30,"Mr","First","C","port",35,35,"S",0,"0"
"Perished","male","No",15,"Mr","Third","UNK","UNK",7.2292,2.40973333333333,"C",2,"0"
"Perished","male","No",25,"Mr","Third","UNK","UNK",17.8,8.9,"S",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"0"
"Survived","female","Yes",22,"Miss","First","E","starboard",55,27.5,"S",1,"1"
"Perished","female","Yes",38,"Miss","Second","UNK","UNK",13,13,"S",0,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Perished","male","No",40,"Mr","Third","UNK","UNK",27.9,4.65,"S",5,"0"
"Perished","male","No",29,"Mr","Second","UNK","UNK",27.7208,13.8604,"C",1,"0"
"Perished","female","Yes",45,"Mrs","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Perished","male","No",35,"Mr","Third","UNK","UNK",7.05,7.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",15.5,7.75,"Q",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Survived","female","Yes",60,"Mrs","First","D","starboard",75.25,37.625,"C",1,"1"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",7.2292,7.2292,"C",0,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Survived","female","Yes",24,"Miss","First","B","starboard",69.3,69.3,"C",0,"1"
"Survived","male","No",25,"Mr","First","E","port",55.4417,27.72085,"C",1,"1"
"Perished","male","No",18,"Mr","Third","UNK","UNK",6.4958,3.2479,"S",1,"0"
"Perished","male","No",19,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",22,"Mr","First","UNK","UNK",135.6333,135.6333,"C",0,"0"
"Perished","female","Yes",3,"Miss","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Survived","female","Yes",35,"Mrs","First","UNK","UNK",82.1708,41.0854,"C",1,"1"
"Survived","female","Yes",22,"Miss","Third","UNK","UNK",7.25,7.25,"S",0,"1"
"Perished","male","No",27,"Mr","First","C","port",211.5,70.5,"C",2,"0"
"Perished","male","No",20,"Mr","Third","UNK","UNK",4.0125,4.0125,"C",0,"0"
"Perished","male","No",19,"Mr","Third","UNK","UNK",7.775,7.775,"S",0,"0"
"Survived","female","Yes",42,"Miss","First","UNK","UNK",227.525,227.525,"C",0,"1"
"Survived","female","Yes",1,"Miss","Third","UNK","UNK",15.7417,5.24723333333333,"C",2,"1"
"Perished","male","No",32,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"0"
"Survived","female","Yes",35,"Mrs","First","UNK","UNK",52,26,"S",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",18,"Mr","Second","UNK","UNK",73.5,73.5,"S",0,"0"
"Perished","male","Yes",1,"Master","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Survived","female","Yes",36,"Miss","Second","UNK","UNK",13,13,"S",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.7292,7.7292,"Q",0,"0"
"Survived","female","Yes",17,"Miss","Second","UNK","UNK",12,12,"C",0,"1"
"Survived","male","No",36,"Mr","First","B","port",120,30,"S",3,"1"
"Survived","male","No",21,"Mr","Third","UNK","UNK",7.7958,7.7958,"S",0,"1"
"Perished","male","No",28,"Mr","Third","UNK","UNK",7.925,2.64166666666667,"S",2,"0"
"Survived","female","Yes",23,"Miss","First","D","port",113.275,56.6375,"C",1,"1"
"Survived","female","Yes",24,"Mrs","Third","G","port",16.7,5.56666666666667,"S",2,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.7958,7.7958,"S",0,"0"
"Perished","female","Yes",31,"Miss","Third","UNK","UNK",7.8542,7.8542,"S",0,"0"
"Perished","male","No",46,"Mr","Second","UNK","UNK",26,26,"S",0,"0"
"Perished","male","No",23,"Noble","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Survived","female","Yes",28,"Mrs","Second","UNK","UNK",12.65,12.65,"S",0,"1"
"Survived","male","No",39,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Perished","male","No",26,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",9.825,4.9125,"S",1,"0"
"Perished","male","No",28,"Mr","Third","UNK","UNK",15.85,7.925,"S",1,"0"
"Perished","female","Yes",20,"Miss","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Perished","male","No",34,"Mr","Second","UNK","UNK",21,10.5,"S",1,"0"
"Perished","male","No",51,"Mr","Third","UNK","UNK",7.75,7.75,"S",0,"0"
"Survived","male","Yes",3,"Master","Second","UNK","UNK",18.75,6.25,"S",2,"1"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.775,7.775,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",25.4667,5.09334,"S",4,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",6.8583,6.8583,"Q",0,"0"
"Survived","female","Yes",33,"Miss","First","C","port",90,45,"Q",1,"1"
"Perished","male","No",30,"Mr","Second","UNK","UNK",15.0229,15.0229,"S",0,"0"
"Survived","male","No",44,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Perished","female","Yes",35,"Mrs","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","female","Yes",34,"Mrs","Second","UNK","UNK",32.5,10.8333333333333,"S",2,"1"
"Survived","female","Yes",18,"Miss","Second","UNK","UNK",13,4.33333333333333,"S",2,"1"
"Perished","male","No",30,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","female","Yes",10,"Miss","Third","UNK","UNK",24.15,8.05,"S",2,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"C",0,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.7333,7.7333,"Q",0,"0"
"Perished","male","No",29,"Mr","Third","UNK","UNK",7.875,7.875,"S",0,"0"
"Perished","female","Yes",28,"Mrs","Third","UNK","UNK",14.4,4.8,"S",2,"0"
"Perished","male","No",18,"Mr","Third","UNK","UNK",20.2125,6.7375,"S",2,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Survived","female","Yes",28,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Survived","female","Yes",19,"Miss","Second","UNK","UNK",26,26,"S",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Survived","male","No",32,"Mr","Third","E","port",8.05,8.05,"S",0,"1"
"Survived","male","No",28,"Mr","First","C","port",26.55,26.55,"S",0,"1"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",16.1,8.05,"S",1,"1"
"Survived","female","Yes",42,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",17,"Mr","Third","UNK","UNK",7.125,7.125,"S",0,"0"
"Perished","male","No",50,"Mr","First","E","port",55.9,27.95,"S",1,"0"
"Survived","female","Yes",14,"Miss","First","B","port",120,30,"S",3,"1"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",34.375,6.875,"S",4,"0"
"Survived","female","Yes",24,"Mrs","Second","UNK","UNK",18.75,3.125,"S",5,"1"
"Perished","male","No",64,"Mr","First","C","starboard",263,43.8333333333333,"S",5,"0"
"Perished","male","No",31,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Survived","female","Yes",45,"Mrs","Second","UNK","UNK",26.25,8.75,"S",2,"1"
"Perished","male","No",20,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"0"
"Perished","male","No",25,"Mr","Third","UNK","UNK",7.775,3.8875,"S",1,"0"
"Survived","female","Yes",28,"Mrs","Second","UNK","UNK",13,13,"S",0,"1"
"Survived","male","No",30,"Mr","Third","UNK","UNK",8.1125,8.1125,"S",0,"1"
"Survived","male","Yes",4,"Master","First","A","port",81.8583,27.2861,"S",2,"1"
"Survived","female","Yes",13,"Miss","Second","UNK","UNK",19.5,9.75,"S",1,"1"
"Survived","male","No",34,"Mr","First","UNK","UNK",26.55,26.55,"S",0,"1"
"Survived","female","Yes",5,"Miss","Third","UNK","UNK",19.2583,4.814575,"C",3,"1"
"Survived","male","No",52,"Noble","First","C","port",30.5,30.5,"S",0,"1"
"Perished","male","No",36,"Mr","Second","UNK","UNK",27.75,6.9375,"S",3,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",19.9667,9.98335,"S",1,"0"
"Perished","male","No",30,"Mr","First","C","starboard",27.75,27.75,"C",0,"0"
"Survived","male","No",49,"Mr","First","C","port",89.1042,44.5521,"C",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","No",29,"Mr","Third","UNK","UNK",7.8958,7.8958,"C",0,"1"
"Perished","male","No",65,"Mr","First","E","port",26.55,26.55,"S",0,"0"
"Survived","female","Yes",35,"Mrs","First","D","starboard",51.8625,25.93125,"S",1,"1"
"Survived","female","Yes",50,"Miss","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Survived","male","No",48,"Mr","First","E","port",26.55,26.55,"S",0,"1"
"Perished","male","No",34,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",47,"Mr","First","E","starboard",38.5,38.5,"S",0,"0"
"Perished","male","No",48,"Mr","Second","UNK","UNK",13,13,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",38,"Mr","Third","UNK","UNK",7.05,7.05,"S",0,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",15.0229,15.0229,"S",0,"0"
"Perished","male","No",56,"Mr","First","UNK","UNK",26.55,26.55,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.725,7.725,"Q",0,"0"
"Survived","female","Yes",0.75,"Miss","Third","UNK","UNK",19.2583,4.814575,"C",3,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",38,"Mr","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Survived","female","Yes",33,"Mrs","Second","UNK","UNK",27.75,6.9375,"S",3,"1"
"Survived","female","Yes",23,"Mrs","Second","D","UNK",13.7917,13.7917,"C",0,"1"
"Perished","female","Yes",22,"Miss","Third","UNK","UNK",9.8375,9.8375,"S",0,"0"
"Perished","male","No",30,"Mr","First","A","port",52,52,"S",0,"0"
"Perished","male","No",34,"Mr","Second","UNK","UNK",21,10.5,"S",1,"0"
"Perished","male","No",29,"Mr","Third","UNK","UNK",7.0458,3.5229,"S",1,"0"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.5208,7.5208,"S",0,"0"
"Survived","female","Yes",2,"Miss","Third","UNK","UNK",12.2875,6.14375,"S",1,"1"
"Perished","male","Yes",9,"Master","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Perished","male","No",30,"Mr","Second","UNK","UNK",15.0229,15.0229,"S",0,"0"
"Perished","male","No",50,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","female","Yes",63,"Mrs","Third","UNK","UNK",9.5875,9.5875,"S",0,"1"
"Survived","male","No",25,"Mr","First","B","starboard",91.0792,45.5396,"C",1,"1"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",25.4667,5.09334,"S",4,"0"
"Survived","female","Yes",35,"Mrs","First","C","starboard",90,45,"S",1,"1"
"Perished","male","No",58,"Mr","First","B","starboard",29.7,29.7,"C",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","Yes",9,"Master","Third","UNK","UNK",15.9,5.3,"S",2,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",19.9667,9.98335,"S",1,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","male","No",55,"Mr","First","C","port",30.5,30.5,"S",0,"0"
"Perished","male","No",71,"Mr","First","UNK","UNK",49.5042,49.5042,"C",0,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",14.4583,14.4583,"C",0,"0"
"Survived","female","Yes",54,"Miss","First","D","port",78.2667,39.13335,"C",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",15.1,15.1,"S",0,"0"
"Perished","female","Yes",25,"Mrs","First","C","port",151.55,37.8875,"S",3,"0"
"Perished","male","No",24,"Mr","Third","UNK","UNK",7.7958,7.7958,"S",0,"0"
"Perished","male","No",17,"Mr","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",7.6292,7.6292,"Q",0,"0"
"Perished","female","Yes",37,"Miss","Third","UNK","UNK",9.5875,9.5875,"S",0,"0"
"Survived","female","Yes",16,"Miss","First","B","starboard",86.5,86.5,"S",0,"1"
"Perished","male","No",18,"Mr","First","C","starboard",108.9,54.45,"C",1,"0"
"Survived","female","Yes",33,"Mrs","Second","UNK","UNK",26,8.66666666666667,"S",2,"1"
"Survived","male","No",30,"Mr","First","UNK","UNK",26.55,26.55,"S",0,"1"
"Perished","male","No",28,"Mr","Third","UNK","UNK",22.525,22.525,"S",0,"0"
"Survived","male","No",26,"Mr","Third","UNK","UNK",56.4958,56.4958,"S",0,"1"
"Survived","male","No",29,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","No",36,"Mr","First","E","starboard",26.2875,26.2875,"S",0,"1"
"Survived","female","Yes",54,"Mrs","First","UNK","UNK",59.4,29.7,"C",1,"1"
"Perished","male","No",24,"Mr","Third","UNK","UNK",7.4958,7.4958,"S",0,"0"
"Perished","male","No",47,"Mr","First","D","port",34.0208,34.0208,"S",0,"0"
"Survived","female","Yes",34,"Mrs","Second","F","starboard",10.5,10.5,"S",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",24.15,24.15,"Q",0,"0"
"Survived","female","Yes",36,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",32,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","female","Yes",30,"Miss","First","B","starboard",93.5,93.5,"S",0,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Survived","female","Yes",44,"Mrs","First","B","port",57.9792,28.9896,"C",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Perished","male","No",40.5,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Survived","female","Yes",50,"Miss","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Perished","male","No",30,"Mr","First","C","starboard",221.7792,221.7792,"S",0,"0"
"Perished","male","No",39,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"0"
"Perished","male","No",23,"Mr","Second","UNK","UNK",11.5,2.875,"S",3,"0"
"Survived","female","Yes",2,"Miss","Second","UNK","UNK",26,8.66666666666667,"S",2,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Perished","male","No",17,"Mr","Third","UNK","UNK",7.2292,2.40973333333333,"C",2,"0"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",22.3583,7.45276666666667,"C",2,"1"
"Perished","female","Yes",30,"Miss","Third","UNK","UNK",8.6625,8.6625,"S",0,"0"
"Survived","female","Yes",7,"Miss","Second","UNK","UNK",26.25,8.75,"S",2,"1"
"Perished","male","No",45,"Noble","First","B","port",26.55,26.55,"S",0,"0"
"Survived","female","Yes",30,"Miss","First","UNK","UNK",106.425,106.425,"C",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",14.5,14.5,"S",0,"0"
"Survived","female","Yes",22,"Miss","First","B","starboard",49.5,16.5,"C",2,"1"
"Survived","female","Yes",36,"Miss","First","B","port",71,23.6666666666667,"S",2,"1"
"Perished","female","Yes",9,"Miss","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Perished","female","Yes",11,"Miss","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Survived","male","No",32,"Mr","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",50,"Mr","First","C","port",106.425,53.2125,"C",1,"0"
"Perished","male","No",64,"Mr","First","UNK","UNK",26,26,"S",0,"0"
"Survived","female","Yes",19,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Survived","male","No",30,"Mr","Second","UNK","UNK",13.8625,13.8625,"C",0,"1"
"Perished","male","No",33,"Mr","Third","UNK","UNK",20.525,6.84166666666667,"S",2,"0"
"Survived","male","Yes",8,"Master","Second","UNK","UNK",36.75,12.25,"S",2,"1"
"Survived","male","No",17,"Mr","First","C","port",110.8833,36.9611,"C",2,"1"
"Perished","male","No",27,"Mr","Second","UNK","UNK",26,26,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8292,7.8292,"Q",0,"0"
"Survived","male","No",22,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"1"
"Survived","female","Yes",22,"Miss","Third","UNK","UNK",7.775,7.775,"S",0,"1"
"Perished","male","No",62,"Mr","First","UNK","UNK",26.55,26.55,"S",0,"0"
"Survived","female","Yes",48,"Noble","First","A","port",39.6,19.8,"C",1,"1"
"Perished","male","No",30,"Mr","First","UNK","UNK",227.525,227.525,"C",0,"0"
"Survived","female","Yes",39,"Mrs","First","E","starboard",79.65,26.55,"S",2,"1"
"Survived","female","Yes",36,"Mrs","Third","UNK","UNK",17.4,8.7,"S",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",40,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",28,"Mr","Second","UNK","UNK",13.5,13.5,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",24,"Mr","Third","UNK","UNK",24.15,8.05,"S",2,"0"
"Perished","male","No",19,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","female","Yes",29,"Mrs","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Survived","male","No",32,"Mr","Third","UNK","UNK",7.8542,7.8542,"S",0,"1"
"Survived","male","No",62,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Survived","female","Yes",53,"Mrs","First","C","starboard",51.4792,17.1597333333333,"S",2,"1"
"Survived","male","No",36,"Mr","First","E","starboard",26.3875,26.3875,"S",0,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",16,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",19,"Mr","Third","UNK","UNK",14.5,14.5,"S",0,"0"
"Survived","female","Yes",34,"Miss","Second","UNK","UNK",13,13,"S",0,"1"
"Survived","female","Yes",39,"Mrs","First","E","port",55.9,27.95,"S",1,"1"
"Perished","female","Yes",35,"Mrs","Third","UNK","UNK",14.4583,7.22915,"C",1,"0"
"Survived","male","No",32,"Mr","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Survived","female","Yes",25,"Miss","Second","UNK","UNK",30,10,"S",2,"1"
"Survived","female","Yes",39,"Mrs","First","C","port",110.8833,36.9611,"C",2,"1"
"Perished","male","No",54,"Mr","Second","UNK","UNK",26,26,"S",0,"0"
"Perished","male","No",36,"Mr","First","A","port",40.125,40.125,"C",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.7125,8.7125,"C",0,"0"
"Survived","female","Yes",18,"Miss","First","E","port",79.65,26.55,"S",2,"1"
"Perished","male","No",47,"Mr","Second","UNK","UNK",15,15,"S",0,"0"
"Survived","male","No",60,"Mr","First","B","starboard",79.2,26.4,"C",2,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",35,"Mr","Third","UNK","UNK",7.125,7.125,"S",0,"0"
"Survived","female","Yes",52,"Mrs","First","D","port",78.2667,39.13335,"C",1,"1"
"Perished","male","No",47,"Mr","Third","UNK","UNK",7.25,7.25,"S",0,"0"
"Perished","female","Yes",21,"Miss","Third","UNK","UNK",7.75,2.58333333333333,"Q",2,"0"
"Perished","male","No",37,"Mr","Second","UNK","UNK",26,13,"S",1,"0"
"Perished","male","No",36,"Mr","Third","UNK","UNK",24.15,8.05,"S",2,"0"
"Survived","female","Yes",21,"Miss","Second","UNK","UNK",33,33,"S",0,"1"
"Perished","male","No",49,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Survived","male","No",49,"Noble","First","A","port",56.9292,28.4646,"C",1,"1"
"Survived","female","Yes",24,"Mrs","Second","UNK","UNK",27,6.75,"S",3,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","First","UNK","UNK",42.4,42.4,"S",0,"0"
"Perished","male","No",44,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","No",35,"Mr","First","UNK","UNK",26.55,26.55,"C",0,"1"
"Perished","male","No",36,"Mr","Third","UNK","UNK",15.55,7.775,"S",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Survived","male","No",27,"Mr","First","UNK","UNK",30.5,30.5,"S",0,"1"
"Survived","female","Yes",22,"Mrs","Second","UNK","UNK",41.5792,10.3948,"C",3,"1"
"Survived","female","Yes",40,"Miss","First","C","starboard",153.4625,153.4625,"S",0,"1"
"Perished","female","Yes",39,"Mrs","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.05,7.05,"S",0,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",15.5,7.75,"Q",1,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.75,7.75,"Q",0,"0"
"Perished","male","No",35,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","female","Yes",24,"Miss","Second","UNK","UNK",65,16.25,"S",3,"1"
"Perished","male","No",34,"Mr","Third","UNK","UNK",14.4,4.8,"S",2,"0"
"Perished","female","Yes",26,"Mrs","Third","UNK","UNK",16.1,8.05,"S",1,"0"
"Survived","female","Yes",4,"Miss","Second","F","port",39,9.75,"S",3,"1"
"Perished","male","No",26,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",27,"Mr","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Survived","male","No",42,"Mr","First","D","starboard",52.5542,26.2771,"S",1,"1"
